Comment,sentiment_score,sentiment_category
"Cryptomonnaies: Solana, la ""blockchain"" qui talonne Ethereum et Bitcoi",0.0,Neutre
Go 5 billions de $ !,0.0,Neutre
intéressé moi bitcoin,0.0,Neutre
"Cryptomonnaies: FTX devrait récupérer entre 14,5 et 16,3 milliards de",0.0,Neutre
Cryptomonnaies: 40 à 50 ans de prison requis contre Sam Bankman-Fried,-0.5106,Négatif
graphe bitcoincoin,0.0,Neutre
Etat des lieux...,0.0,Neutre
"Salvador: dans l'attente de la ""Bitcoin city"" promise",0.3182,Positif
"Bitcoin ici , 5 j.",0.0,Neutre
"Un régulateur américain attaque la plateforme Binance, le monde des cr",0.0,Neutre
"Bitcoin , bornes fléchées.",0.0,Neutre
L'ex-star des cryptomonnaies Sam Bankman-Fried jugé pour fraude à New,0.0,Neutre
Bitcoin. Les fibos sont réactifs aussi,0.0,Neutre
"Crypto: extradé, l'ex-patron de FTX est à New York",0.0,Neutre
"Crypto: l'ex-patron de la plateforme FTX, en faillite, s'excuse mais r",0.0,Neutre
"Cryptomonnaies: FTX assure mettre ""tout en oeuvre"" pour sécuriser les",0.2263,Positif
"FTX, grand nom de l'échange de cryptomonnaies, en faillite",0.4588,Positif
"La déconfiture de FTX, nouveau revers de taille pour le monde des cryp",0.0,Neutre
"Mutation réussie pour la blockchain Ethereum, pivot du monde des crypt",0.0,Neutre
Analyse de Bitcoin (en $),0.0,Neutre
"Zone euro : un ménage sur dix a investi dans les cryptomonnaies, dit l",0.0,Neutre
Cours artificiellement gonflés et profits éclairs: les cryptomonnaies,0.4404,Positif
Le bitcoin perd ses gains de 2022 et passe sous 30.000 dollars,0.34,Positif
Fin de l'âge d'or ?,0.0,Neutre
"Mark Karpelès, le ""baron"" déchu du bitcoin, veut créer une agence de n",0.0,Neutre
le bitcoin remplace le roebel ? c'est possible ??,0.0,Neutre
"Sur ce graphe c.est 40 %, le fibo visité en live.",0.0,Neutre
"A droite on a 3 phases de baisse, or sur",0.0,Neutre
Vue 3 mois. Pas bonne.,0.0,Neutre
La figure ne serait pas un grand M,0.4588,Positif
Petit support sur 52000 ?,0.4019,Positif
BITCOIN,0.0,Neutre
L'addiction aux cryptomonnaies: une pandémie cachée?,0.0,Neutre
Une société liée aux cryptomonnaies récupère une partie du butin recor,0.0,Neutre
Cambriolage record de cryptomonnaies par des pirates informatiques,0.0,Neutre
Le fondateur de ethereum a tout vendu,-0.128,Négatif
"L'euro numérique, alternative aux cryptomonnaie, prend forme",0.0,Neutre
"Cryptomonnaies: les ""mineurs"" contraints de fuir la Chine",0.0,Neutre
Le Salvador offre des bitcoins à ses citoyens pour encourager leur usa,0.3612,Positif
LE PLUS GROS SCAM DE L'HISTOIRE,-0.5719,Négatif
"Le bitcoin plonge sous 30.000 dollars, coulé par les régulations chino",0.0,Neutre
La Chine s'active pour freiner l'industrie des cryptomonnaies,0.0,Neutre
BITCOIN ; Le monde fascinant de Bitcoin,0.0,Neutre
"Le bitcoin poursuit sa chute, après un rappel à l'ordre en Chine",0.0,Neutre
La Turquie sur les traces du fondateur d'une plateforme de cryptomonna,0.0,Neutre
Fantom FTM / USDT - Tasse et Anse,0.0,Neutre
XDG DOGE - Crypto - Jusqu'où ira-t-il ?,0.0,Neutre
morts en sursis,0.0,Neutre
CRV - Crypto - Tasse et anse,0.0,Neutre
Bitcoin - Biseau ascendant,0.0,Neutre
150 000 $,0.0,Neutre
COS Contentos - Sortie de triangle,0.0,Neutre
Le bitcoin dépasse pour la première fois la barre des 60.000 dollars,0.0,Neutre
pas bon signe,0.0,Neutre
Le marché du bitcoin dépasse 1.000 milliards de dollars,0.0,Neutre
BITCOIN : relancement > 10 000,0.0,Neutre
il faudra bien,0.0,Neutre
"Ruée vers le bitcoin, qui dépasse les 20.000 dollars pour la première",0.0,Neutre
Le bitcoin perd l'intérêt des marchés et gagne celui des régulateurs,0.0,Neutre
Hausse bitcoin,0.0,Neutre
Mon avis sur le ... Bitcoin,0.0,Neutre
Bitcoin (en $) hebdo,0.0,Neutre
Bitcoin: le G20 Finances refuse de le considérer comme une monnaie,-0.296,Négatif
Le Bitcoin : voici ma version graphique,0.0,Neutre
bitcoin : point d' interrogation ou d'exclamation ? !,0.0,Neutre
Le PDG de TSMC optimiste sur le bitcoin en dépit de sa volatilité,0.0,Neutre
"Bitcoins: les plus-values sont imposables, avertit Darmanin",0.0,Neutre
"5570 , baisse au niveau de 2 fibos",0.0,Neutre
Analyse de Bitcoin (en $),0.0,Neutre
La plus grosse plate forme d'échange de bitcoins disparait,0.0,Neutre
